Vector 1: Weights: [0. 0. 0. 0.], Bias: 0, Count: 0
Vector 167: Weights: [-52.359631 -41.91532  -22.59544  -11.370744], Bias: 42, Count: 12
Vector 168: Weights: [-51.464511 -37.14152  -27.43854  -16.961644], Bias: 43, Count: 1
Vector 169: Weights: [-51.983981 -33.87822  -30.52804  -15.976724], Bias: 42, Count: 113
Vector 170: Weights: [-52.313181 -29.42302  -35.09984  -14.987924], Bias: 41, Count: 1
Vector 171: Weights: [-50.282181 -27.57102  -38.11194  -14.984921], Bias: 42, Count: 93
Vector 172: Weights: [-49.495281 -37.13732  -34.32524   -7.481521], Bias: 41, Count: 81
Vector 173: Weights: [-48.045181 -33.53062  -38.38094   -9.078121], Bias: 42, Count: 27
Vector 174: Weights: [-45.850881 -28.98032  -43.35694  -11.803521], Bias: 43, Count: 2
Vector 175: Weights: [-49.872681 -37.28432  -30.80194  -13.313421], Bias: 44, Count: 45
Vector 176: Weights: [-48.383081 -33.85552  -34.83284  -14.739321], Bias: 45, Count: 78
Vector 177: Weights: [-48.712321 -29.40032  -39.40464  -13.750521], Bias: 44, Count: 44
Vector 178: Weights: [-49.231821 -26.13702  -42.49414  -12.765621], Bias: 43, Count: 13
Vector 179: Weights: [-52.374121 -39.17352  -26.81684  -13.427271], Bias: 44, Count: 8
Vector 180: Weights: [-53.303821 -35.37642  -31.45974  -13.131571], Bias: 43, Count: 25
Vector 181: Weights: [-51.623921 -31.16962  -35.99954  -15.524671], Bias: 44, Count: 3
Vector 182: Weights: [-52.143421 -27.90632  -39.08904  -14.539771], Bias: 43, Count: 17
Vector 183: Weights: [-55.373921 -35.11982  -27.44574  -15.485901], Bias: 44, Count: 23
Vector 184: Weights: [-54.729201 -30.51362  -35.79274  -12.776001], Bias: 43, Count: 84
Vector 185: Weights: [-53.942301 -40.07992  -32.00604   -5.272601], Bias: 42, Count: 5
Vector 186: Weights: [-52.434601 -38.12032  -35.06444   -5.395031], Bias: 43, Count: 122
Vector 187: Weights: [-50.042901 -33.56382  -40.05324   -8.293731], Bias: 44, Count: 53
Vector 188: Weights: [-50.562401 -30.30052  -43.14274   -7.308831], Bias: 43, Count: 22
Vector 189: Weights: [-54.258501 -43.97842  -25.56324   -9.926931], Bias: 44, Count: 12
Vector 190: Weights: [-53.363381 -39.20462  -30.40634  -15.517831], Bias: 45, Count: 1
Vector 191: Weights: [-53.882851 -35.94132  -33.49584  -14.532911], Bias: 44, Count: 113
Vector 192: Weights: [-54.212051 -31.48612  -38.06764  -13.544111], Bias: 43, Count: 1
Vector 193: Weights: [-52.181051 -29.63412  -41.07974  -13.541108], Bias: 44, Count: 93
Vector 194: Weights: [-51.394151 -39.20042  -37.29304   -6.037708], Bias: 43, Count: 81
Vector 195: Weights: [-49.944051 -35.59372  -41.34874   -7.634308], Bias: 44, Count: 27
Vector 196: Weights: [-47.749751 -31.04342  -46.32474  -10.359708], Bias: 45, Count: 2
Vector 197: Weights: [-51.771551 -39.34742  -33.76974  -11.869608], Bias: 46, Count: 45
Vector 198: Weights: [-50.281951 -35.91862  -37.80064  -13.295508], Bias: 47, Count: 78
Vector 199: Weights: [-50.611191 -31.46342  -42.37244  -12.306708], Bias: 46, Count: 44
Vector 200: Weights: [-51.130691 -28.20012  -45.46194  -11.321808], Bias: 45, Count: 13
Vector 201: Weights: [-54.272991 -41.23662  -29.78464  -11.983458], Bias: 46, Count: 8
Vector 202: Weights: [-55.202691 -37.43952  -34.42754  -11.687758], Bias: 45, Count: 25
Vector 203: Weights: [-53.522791 -33.23272  -38.96734  -14.080858], Bias: 46, Count: 3
Vector 204: Weights: [-54.042291 -29.96942  -42.05684  -13.095958], Bias: 45, Count: 17
Vector 205: Weights: [-57.272791 -37.18292  -30.41354  -14.042088], Bias: 46, Count: 23
Vector 206: Weights: [-56.628071 -32.57672  -38.76054  -11.332188], Bias: 45, Count: 84
Vector 207: Weights: [-55.841171 -42.14302  -34.97384   -3.828788], Bias: 44, Count: 5
Vector 208: Weights: [-54.333471 -40.18342  -38.03224   -3.951218], Bias: 45, Count: 122
Vector 209: Weights: [-51.941771 -35.62692  -43.02104   -6.849918], Bias: 46, Count: 32
Vector 210: Weights: [-55.028371 -42.26312  -32.48054   -7.741738], Bias: 47, Count: 16
Vector 211: Weights: [-54.867291 -35.80072  -40.83784   -6.220138], Bias: 46, Count: 5
Vector 212: Weights: [-55.386791 -32.53742  -43.92734   -5.235238], Bias: 45, Count: 22
Vector 213: Weights: [-59.082891 -46.21532  -26.34784   -7.853338], Bias: 46, Count: 12
Vector 214: Weights: [-58.187771 -41.44152  -31.19094  -13.444238], Bias: 47, Count: 1
Vector 215: Weights: [-58.707241 -38.17822  -34.28044  -12.459318], Bias: 46, Count: 113
Vector 216: Weights: [-59.036441 -33.72302  -38.85224  -11.470518], Bias: 45, Count: 1
Vector 217: Weights: [-57.005441 -31.87102  -41.86434  -11.467515], Bias: 46, Count: 38
Vector 218: Weights: [-54.987741 -30.07282  -44.82244  -11.257615], Bias: 47, Count: 55
Vector 219: Weights: [-54.200841 -39.63912  -41.03574   -3.754215], Bias: 46, Count: 81
Vector 220: Weights: [-52.750741 -36.03242  -45.09144   -5.350815], Bias: 47, Count: 34
Vector 221: Weights: [-56.571041 -49.08752  -28.13314   -7.656015], Bias: 48, Count: 1
Vector 222: Weights: [-62.051841 -40.90562  -27.85496  -12.688315], Bias: 49, Count: 39
Vector 223: Weights: [-60.562241 -37.47682  -31.88586  -14.114215], Bias: 50, Count: 78
Vector 224: Weights: [-60.891481 -33.02162  -36.45766  -13.125415], Bias: 49, Count: 44
Vector 225: Weights: [-61.410981 -29.75832  -39.54716  -12.140515], Bias: 48, Count: 49
Vector 226: Weights: [-61.930481 -26.49502  -42.63666  -11.155615], Bias: 47, Count: 17
Vector 227: Weights: [-65.160981 -33.70852  -30.99336  -12.101745], Bias: 48, Count: 23
Vector 228: Weights: [-64.516261 -29.10232  -39.34036   -9.391845], Bias: 47, Count: 84
Vector 229: Weights: [-63.729361 -38.66862  -35.55366   -1.888445], Bias: 46, Count: 5
Vector 230: Weights: [-62.221661 -36.70902  -38.61206   -2.010875], Bias: 47, Count: 122
Vector 231: Weights: [-59.829961 -32.15252  -43.60086   -4.909575], Bias: 48, Count: 32
Vector 232: Weights: [-62.916561 -38.78872  -33.06036   -5.801395], Bias: 49, Count: 16
Vector 233: Weights: [-62.755481 -32.32632  -41.41766   -4.279795], Bias: 48, Count: 154
Vector 234: Weights: [-60.724481 -30.47432  -44.42976   -4.276792], Bias: 49, Count: 15
Vector 235: Weights: [-64.741781 -38.78662  -31.97506   -5.714292], Bias: 50, Count: 23
Vector 236: Weights: [-62.724081 -36.98842  -34.93316   -5.504392], Bias: 51, Count: 136
Vector 237: Weights: [-61.273981 -33.38172  -38.98886   -7.100992], Bias: 52, Count: 27
Vector 238: Weights: [-59.079681 -28.83142  -43.96486   -9.826392], Bias: 53, Count: 2
Vector 239: Weights: [-63.101481 -37.13542  -31.40986  -11.336292], Bias: 54, Count: 45
Vector 240: Weights: [-61.611881 -33.70662  -35.44076  -12.762192], Bias: 55, Count: 78
Vector 241: Weights: [-61.941121 -29.25142  -40.01256  -11.773392], Bias: 54, Count: 44
Vector 242: Weights: [-62.460621 -25.98812  -43.10206  -10.788492], Bias: 53, Count: 13
Vector 243: Weights: [-65.602921 -39.02462  -27.42476  -11.450142], Bias: 54, Count: 8
Vector 244: Weights: [-66.532621 -35.22752  -32.06766  -11.154442], Bias: 53, Count: 25
Vector 245: Weights: [-64.852721 -31.02072  -36.60746  -13.547542], Bias: 54, Count: 3
Vector 246: Weights: [-65.372221 -27.75742  -39.69696  -12.562642], Bias: 53, Count: 124
Vector 247: Weights: [-64.585321 -37.32372  -35.91026   -5.059242], Bias: 52, Count: 5
Vector 248: Weights: [-63.077621 -35.36412  -38.96866   -5.181672], Bias: 53, Count: 122
Vector 249: Weights: [-60.685921 -30.80762  -43.95746   -8.080372], Bias: 54, Count: 32
Vector 250: Weights: [-63.772521 -37.44382  -33.41696   -8.972192], Bias: 55, Count: 16
Vector 251: Weights: [-63.611441 -30.98142  -41.77426   -7.450592], Bias: 54, Count: 5
Vector 252: Weights: [-64.130941 -27.71812  -44.86376   -6.465692], Bias: 53, Count: 22
Vector 253: Weights: [-67.827041 -41.39602  -27.28426   -9.083792], Bias: 54, Count: 12
Vector 254: Weights: [-66.931921 -36.62222  -32.12736  -14.674692], Bias: 55, Count: 1
Vector 255: Weights: [-67.451391 -33.35892  -35.21686  -13.689772], Bias: 54, Count: 31
Vector 256: Weights: [-65.592991 -41.24492  -33.55256  -11.851372], Bias: 53, Count: 82
Vector 257: Weights: [-65.922191 -36.78972  -38.12436  -10.862572], Bias: 52, Count: 1
Vector 258: Weights: [-63.891191 -34.93772  -41.13646  -10.859569], Bias: 53, Count: 38
Vector 259: Weights: [-61.873491 -33.13952  -44.09456  -10.649669], Bias: 54, Count: 55
Vector 260: Weights: [-61.086591 -42.70582  -40.30786   -3.146269], Bias: 53, Count: 36

Average prediction error on the test dataset: 0.014
